days,value
2020-09-30,13400000000
2020-10-01,13400000000
2020-10-02,13400000000
2020-10-03,13400000000
2020-10-04,13400000000
2020-10-05,13400000000
2020-10-06,13400000000
2020-10-07,13400000000
2020-10-08,15100000000
2020-10-09,16400000000
2020-10-10,16400000000
2020-10-11,18200000000
2020-10-12,19300000000
2020-10-13,19300000000
2020-10-14,22400000000
2020-10-15,22400000000
2020-10-16,22400000000
2020-10-17,22400000000
2020-10-18,24000000000
2020-10-19,25100000000
2020-10-20,25100000000
2020-10-21,25100000000
2020-10-22,25100000000
2020-10-23,26500000000
2020-10-24,26500000000
2020-10-25,26500000000
2020-10-26,26500000000
2020-10-27,26500000000
2020-10-28,26500000000
2020-10-29,26500000000
2020-10-30,26500000000
2020-10-31,26500000000
2020-11-01,26500000000
2020-11-02,28400000000
2020-11-03,28400000000
2020-11-04,28400000000
2020-11-05,28400000000
2020-11-06,28400000000
2020-11-07,28400000000
2020-11-08,28400000000
2020-11-09,30500000000
2020-11-10,30500000000
2020-11-11,30500000000
2020-11-12,30500000000
2020-11-13,30500000000
2020-11-14,30500000000
2020-11-15,32700000000
2020-11-16,32700000000
2020-11-17,32700000000
2020-11-18,32700000000
2020-11-19,32700000000
2020-11-20,32700000000
2020-11-21,32700000000
2020-11-22,32700000000
2020-11-23,32700000000
2020-11-24,35100000000
2020-11-25,35100000000
2020-11-26,35100000000
2020-11-27,35100000000
2020-11-28,35100000000
2020-11-29,35100000000
2020-11-30,35100000000
2020-12-01,35100000000
2020-12-02,35100000000
2020-12-03,35100000000
2020-12-04,35100000000
2020-12-05,35100000000
2020-12-06,35100000000
2020-12-07,35100000000
2020-12-08,37700000000
2020-12-09,37700000000
2020-12-10,37700000000
2020-12-11,37700000000
2020-12-12,37700000000
2020-12-13,37700000000
2020-12-14,37700000000
2020-12-15,37700000000
2020-12-16,37700000000
2020-12-17,37700000000
2020-12-18,37700000000
2020-12-19,37700000000
2020-12-20,37700000000
2020-12-21,37700000000
2020-12-22,37700000000
2020-12-23,37700000000
2020-12-24,37700000000
2020-12-25,37700000000
2020-12-26,37700000000
2020-12-27,37700000000
