days,value
2020-09-30,16400000000
2020-10-01,16400000000
2020-10-02,16400000000
2020-10-03,16400000000
2020-10-04,16400000000
2020-10-05,16400000000
2020-10-06,16400000000
2020-10-07,16400000000
2020-10-08,18200000000
2020-10-09,19700000000
2020-10-10,21700000000
2020-10-11,21700000000
2020-10-12,23600000000
2020-10-13,23600000000
2020-10-14,23600000000
2020-10-15,23600000000
2020-10-16,23600000000
2020-10-17,25300000000
2020-10-18,25300000000
2020-10-19,25300000000
2020-10-20,26500000000
2020-10-21,26500000000
2020-10-22,26500000000
2020-10-23,26500000000
2020-10-24,26500000000
2020-10-25,28400000000
2020-10-26,28400000000
2020-10-27,28400000000
2020-10-28,28400000000
2020-10-29,30000000000
2020-10-30,30000000000
2020-10-31,30000000000
2020-11-01,30000000000
2020-11-02,30000000000
2020-11-03,32200000000
2020-11-04,35200000000
2020-11-05,35200000000
2020-11-06,35200000000
2020-11-07,35200000000
2020-11-08,35200000000
2020-11-09,35200000000
2020-11-10,36700000000
2020-11-11,36700000000
2020-11-12,36700000000
2020-11-13,36700000000
2020-11-14,36700000000
2020-11-15,36700000000
2020-11-16,37800000000
2020-11-17,37800000000
2020-11-18,37800000000
2020-11-19,37800000000
2020-11-20,40600000000
2020-11-21,40600000000
2020-11-22,40600000000
2020-11-23,43600000000
2020-11-24,43600000000
2020-11-25,43600000000
2020-11-26,43600000000
2020-11-27,43600000000
2020-11-28,46700000000
2020-11-29,46700000000
2020-11-30,46700000000
2020-12-01,46700000000
2020-12-02,46700000000
2020-12-03,46700000000
2020-12-04,46700000000
2020-12-05,46700000000
2020-12-06,46700000000
2020-12-07,46700000000
2020-12-08,46700000000
2020-12-09,46700000000
2020-12-10,46700000000
2020-12-11,46700000000
2020-12-12,46700000000
2020-12-13,46700000000
2020-12-14,46700000000
2020-12-15,46700000000
2020-12-16,46700000000
2020-12-17,50000000000
2020-12-18,50000000000
2020-12-19,50000000000
2020-12-20,50000000000
2020-12-21,50000000000
2020-12-22,50000000000
2020-12-23,50000000000
2020-12-24,50000000000
2020-12-25,50000000000
2020-12-26,50000000000
2020-12-27,50000000000
