days,value
2020-09-30,10600000000
2020-10-01,10600000000
2020-10-02,10600000000
2020-10-03,10600000000
2020-10-04,10600000000
2020-10-05,10600000000
2020-10-06,10600000000
2020-10-07,10600000000
2020-10-08,11900000000
2020-10-09,13300000000
2020-10-10,14400000000
2020-10-11,17000000000
2020-10-12,19300000000
2020-10-13,19300000000
2020-10-14,21600000000
2020-10-15,22400000000
2020-10-16,22400000000
2020-10-17,22400000000
2020-10-18,23800000000
2020-10-19,25100000000
2020-10-20,25100000000
2020-10-21,25100000000
2020-10-22,25100000000
2020-10-23,26500000000
2020-10-24,26500000000
2020-10-25,26500000000
2020-10-26,26500000000
2020-10-27,26500000000
2020-10-28,26500000000
2020-10-29,26500000000
2020-10-30,26500000000
2020-10-31,26500000000
2020-11-01,26500000000
2020-11-02,28400000000
2020-11-03,28400000000
2020-11-04,28400000000
2020-11-05,28400000000
2020-11-06,28400000000
2020-11-07,28400000000
2020-11-08,28400000000
2020-11-09,30500000000
2020-11-10,30500000000
2020-11-11,30500000000
2020-11-12,30500000000
2020-11-13,30500000000
2020-11-14,30500000000
2020-11-15,32700000000
2020-11-16,32700000000
2020-11-17,32700000000
2020-11-18,32700000000
2020-11-19,32700000000
2020-11-20,32700000000
2020-11-21,32700000000
2020-11-22,32700000000
2020-11-23,32700000000
2020-11-24,32700000000
2020-11-25,32700000000
2020-11-26,32700000000
2020-11-27,32700000000
2020-11-28,33600000000
2020-11-29,33600000000
2020-11-30,33600000000
2020-12-01,33600000000
2020-12-02,33600000000
2020-12-03,35100000000
2020-12-04,35100000000
2020-12-05,35100000000
2020-12-06,35100000000
2020-12-07,35100000000
2020-12-08,35100000000
2020-12-09,35100000000
2020-12-10,35100000000
2020-12-11,35100000000
2020-12-12,35100000000
2020-12-13,35100000000
2020-12-14,35100000000
2020-12-15,35100000000
2020-12-16,35100000000
2020-12-17,35100000000
2020-12-18,35100000000
2020-12-19,35100000000
2020-12-20,35100000000
2020-12-21,35100000000
2020-12-22,35100000000
2020-12-23,35100000000
2020-12-24,35100000000
2020-12-25,35100000000
2020-12-26,35100000000
2020-12-27,35100000000
