days,value
2020-09-30,1270000000
2020-10-01,1270000000
2020-10-02,1300000000
2020-10-03,1330000000
2020-10-04,1380000000
2020-10-05,1450000000
2020-10-06,1420000000
2020-10-07,1380000000
2020-10-08,1370000000
2020-10-09,1440000000
2020-10-10,1440000000
2020-10-11,1450000000
2020-10-12,1550000000
2020-10-13,1480000000
2020-10-14,1520000000
2020-10-15,1430000000
2020-10-16,1390000000
2020-10-17,1290000000
2020-10-18,1310000000
2020-10-19,1250000000
2020-10-20,1180000000
2020-10-21,1190000000
2020-10-22,1210000000
2020-10-23,1190000000
2020-10-24,1170000000
2020-10-25,1120000000
2020-10-26,1120000000
2020-10-27,1180000000
2020-10-28,1210000000
2020-10-29,1280000000
2020-10-30,1310000000
2020-10-31,1300000000
2020-11-01,1200000000
2020-11-02,1220000000
2020-11-03,1230000000
2020-11-04,1270000000
2020-11-05,1300000000
2020-11-06,1310000000
2020-11-07,1270000000
2020-11-08,1200000000
2020-11-09,1180000000
2020-11-10,1220000000
2020-11-11,1230000000
2020-11-12,1210000000
2020-11-13,1210000000
2020-11-14,1160000000
2020-11-15,1130000000
2020-11-16,1130000000
2020-11-17,1160000000
2020-11-18,1200000000
2020-11-19,1100000000
2020-11-20,1020000000
2020-11-21,995000000
2020-11-22,1020000000
2020-11-23,1070000000
2020-11-24,1090000000
2020-11-25,1030000000
2020-11-26,1010000000
2020-11-27,975000000
2020-11-28,1010000000
2020-11-29,1040000000
2020-11-30,1060000000
2020-12-01,1040000000
2020-12-02,1080000000
2020-12-03,1100000000
2020-12-04,1110000000
2020-12-05,1080000000
2020-12-06,1070000000
2020-12-07,1130000000
2020-12-08,1210000000
2020-12-09,1240000000
2020-12-10,1170000000
2020-12-11,1120000000
2020-12-12,1080000000
2020-12-13,1020000000
2020-12-14,980000000
2020-12-15,995000000
2020-12-16,1000000000
2020-12-17,1010000000
2020-12-18,965000000
2020-12-19,1010000000
2020-12-20,1060000000
2020-12-21,1070000000
2020-12-22,1070000000
2020-12-23,1040000000
2020-12-24,980000000
2020-12-25,940000000
2020-12-26,935000000
2020-12-27,920000000
