days,value
2020-09-30,10800
2020-10-01,10800
2020-10-02,10800
2020-10-03,10800
2020-10-04,10800
2020-10-05,10800
2020-10-06,10800
2020-10-07,10800
2020-10-08,10800
2020-10-09,10800
2020-10-10,10800
2020-10-11,10800
2020-10-12,10800
2020-10-13,10800
2020-10-14,10800
2020-10-15,10800
2020-10-16,10800
2020-10-17,10800
2020-10-18,10800
2020-10-19,10800
2020-10-20,10800
2020-10-21,10800
2020-10-22,10800
2020-10-23,10800
2020-10-24,10800
2020-10-25,10800
2020-10-26,10800
2020-10-27,10800
2020-10-28,10800
2020-10-29,10800
2020-10-30,10800
2020-10-31,10800
2020-11-01,10800
2020-11-02,10800
2020-11-03,10800
2020-11-04,10800
2020-11-05,10800
2020-11-06,10800
2020-11-07,10800
2020-11-08,10800
2020-11-09,10800
2020-11-10,10800
2020-11-11,10800
2020-11-12,10800
2020-11-13,10800
2020-11-14,10800
2020-11-15,10800
2020-11-16,10800
2020-11-17,10800
2020-11-18,10800
2020-11-19,10800
2020-11-20,10800
2020-11-21,10800
2020-11-22,10800
2020-11-23,10800
2020-11-24,10800
2020-11-25,10800
2020-11-26,10800
2020-11-27,10800
2020-11-28,10800
2020-11-29,10800
2020-11-30,10800
2020-12-01,10800
2020-12-02,10800
2020-12-03,10800
2020-12-04,10800
2020-12-05,10800
2020-12-06,10800
2020-12-07,10800
2020-12-08,10800
2020-12-09,10800
2020-12-10,10800
2020-12-11,10800
2020-12-12,10800
2020-12-13,10800
2020-12-14,10800
2020-12-15,10800
2020-12-16,10800
2020-12-17,10800
2020-12-18,10800
2020-12-19,10800
2020-12-20,10800
2020-12-21,10800
2020-12-22,10800
2020-12-23,10800
2020-12-24,10800
2020-12-25,10800
2020-12-26,10800
2020-12-27,10800
