days,value
2020-09-30,282000000000
2020-10-01,282000000000
2020-10-02,282000000000
2020-10-03,282000000000
2020-10-04,282000000000
2020-10-05,282000000000
2020-10-06,282000000000
2020-10-07,282000000000
2020-10-08,282000000000
2020-10-09,282000000000
2020-10-10,282000000000
2020-10-11,282000000000
2020-10-12,282000000000
2020-10-13,282000000000
2020-10-14,282000000000
2020-10-15,282000000000
2020-10-16,282000000000
2020-10-17,282000000000
2020-10-18,282000000000
2020-10-19,282000000000
2020-10-20,282000000000
2020-10-21,282000000000
2020-10-22,282000000000
2020-10-23,282000000000
2020-10-24,282000000000
2020-10-25,282000000000
2020-10-26,282000000000
2020-10-27,282000000000
2020-10-28,282000000000
2020-10-29,282000000000
2020-10-30,282000000000
2020-10-31,282000000000
2020-11-01,282000000000
2020-11-02,282000000000
2020-11-03,282000000000
2020-11-04,282000000000
2020-11-05,282000000000
2020-11-06,282000000000
2020-11-07,282000000000
2020-11-08,282000000000
2020-11-09,282000000000
2020-11-10,282000000000
2020-11-11,282000000000
2020-11-12,282000000000
2020-11-13,282000000000
2020-11-14,282000000000
2020-11-15,282000000000
2020-11-16,282000000000
2020-11-17,282000000000
2020-11-18,282000000000
2020-11-19,282000000000
2020-11-20,282000000000
2020-11-21,282000000000
2020-11-22,282000000000
2020-11-23,282000000000
2020-11-24,282000000000
2020-11-25,282000000000
2020-11-26,282000000000
2020-11-27,282000000000
2020-11-28,282000000000
2020-11-29,282000000000
2020-11-30,282000000000
2020-12-01,282000000000
2020-12-02,282000000000
2020-12-03,282000000000
2020-12-04,282000000000
2020-12-05,282000000000
2020-12-06,282000000000
2020-12-07,282000000000
2020-12-08,282000000000
2020-12-09,282000000000
2020-12-10,282000000000
2020-12-11,282000000000
2020-12-12,282000000000
2020-12-13,282000000000
2020-12-14,282000000000
2020-12-15,282000000000
2020-12-16,282000000000
2020-12-17,282000000000
2020-12-18,282000000000
2020-12-19,282000000000
2020-12-20,282000000000
2020-12-21,282000000000
2020-12-22,282000000000
2020-12-23,282000000000
2020-12-24,282000000000
2020-12-25,282000000000
2020-12-26,282000000000
2020-12-27,282000000000
