days,value
2020-09-30,32700000000
2020-10-01,32700000000
2020-10-02,32700000000
2020-10-03,32700000000
2020-10-04,32700000000
2020-10-05,32700000000
2020-10-06,32700000000
2020-10-07,32700000000
2020-10-08,32700000000
2020-10-09,32700000000
2020-10-10,32700000000
2020-10-11,32700000000
2020-10-12,32700000000
2020-10-13,32700000000
2020-10-14,32700000000
2020-10-15,32700000000
2020-10-16,32700000000
2020-10-17,32700000000
2020-10-18,32700000000
2020-10-19,32700000000
2020-10-20,32700000000
2020-10-21,32700000000
2020-10-22,32700000000
2020-10-23,32700000000
2020-10-24,35100000000
2020-10-25,35100000000
2020-10-26,35100000000
2020-10-27,35100000000
2020-10-28,35100000000
2020-10-29,37700000000
2020-10-30,37700000000
2020-10-31,37700000000
2020-11-01,37700000000
2020-11-02,37700000000
2020-11-03,37700000000
2020-11-04,37700000000
2020-11-05,37700000000
2020-11-06,40500000000
2020-11-07,40500000000
2020-11-08,40500000000
2020-11-09,40500000000
2020-11-10,40500000000
2020-11-11,40500000000
2020-11-12,40500000000
2020-11-13,43500000000
2020-11-14,43500000000
2020-11-15,43500000000
2020-11-16,43500000000
2020-11-17,43500000000
2020-11-18,43500000000
2020-11-19,43500000000
2020-11-20,46700000000
2020-11-21,46700000000
2020-11-22,46700000000
2020-11-23,46700000000
2020-11-24,46700000000
2020-11-25,46700000000
2020-11-26,46700000000
2020-11-27,46700000000
2020-11-28,46700000000
2020-11-29,46700000000
2020-11-30,46900000000
2020-12-01,46900000000
2020-12-02,46900000000
2020-12-03,46900000000
2020-12-04,46900000000
2020-12-05,46900000000
2020-12-06,46900000000
2020-12-07,52500000000
2020-12-08,52500000000
2020-12-09,52500000000
2020-12-10,57000000000
2020-12-11,57000000000
2020-12-12,57000000000
2020-12-13,57000000000
2020-12-14,57000000000
2020-12-15,57000000000
2020-12-16,57000000000
2020-12-17,61000000000
2020-12-18,61000000000
2020-12-19,61000000000
2020-12-20,61000000000
2020-12-21,61000000000
2020-12-22,61000000000
2020-12-23,61000000000
2020-12-24,65500000000
2020-12-25,65500000000
2020-12-26,65500000000
2020-12-27,65500000000
