days,value
2020-09-30,114000000000
2020-10-01,114000000000
2020-10-02,114000000000
2020-10-03,114000000000
2020-10-04,114000000000
2020-10-05,114000000000
2020-10-06,114000000000
2020-10-07,114000000000
2020-10-08,114000000000
2020-10-09,114000000000
2020-10-10,114000000000
2020-10-11,114000000000
2020-10-12,114000000000
2020-10-13,114000000000
2020-10-14,114000000000
2020-10-15,114000000000
2020-10-16,114000000000
2020-10-17,114000000000
2020-10-18,114000000000
2020-10-19,114000000000
2020-10-20,114000000000
2020-10-21,114000000000
2020-10-22,114000000000
2020-10-23,114000000000
2020-10-24,114000000000
2020-10-25,114000000000
2020-10-26,114000000000
2020-10-27,114000000000
2020-10-28,114000000000
2020-10-29,114000000000
2020-10-30,114000000000
2020-10-31,114000000000
2020-11-01,114000000000
2020-11-02,114000000000
2020-11-03,114000000000
2020-11-04,114000000000
2020-11-05,114000000000
2020-11-06,114000000000
2020-11-07,114000000000
2020-11-08,114000000000
2020-11-09,114000000000
2020-11-10,114000000000
2020-11-11,114000000000
2020-11-12,114000000000
2020-11-13,114000000000
2020-11-14,114000000000
2020-11-15,114000000000
2020-11-16,114000000000
2020-11-17,114000000000
2020-11-18,114000000000
2020-11-19,114000000000
2020-11-20,114000000000
2020-11-21,114000000000
2020-11-22,114000000000
2020-11-23,114000000000
2020-11-24,114000000000
2020-11-25,114000000000
2020-11-26,114000000000
2020-11-27,114000000000
2020-11-28,114000000000
2020-11-29,114000000000
2020-11-30,114000000000
2020-12-01,114000000000
2020-12-02,114000000000
2020-12-03,114000000000
2020-12-04,114000000000
2020-12-05,114000000000
2020-12-06,114000000000
2020-12-07,114000000000
2020-12-08,114000000000
2020-12-09,114000000000
2020-12-10,114000000000
2020-12-11,114000000000
2020-12-12,114000000000
2020-12-13,114000000000
2020-12-14,114000000000
2020-12-15,114000000000
2020-12-16,114000000000
2020-12-17,114000000000
2020-12-18,114000000000
2020-12-19,114000000000
2020-12-20,114000000000
2020-12-21,114000000000
2020-12-22,114000000000
2020-12-23,114000000000
2020-12-24,114000000000
2020-12-25,114000000000
2020-12-26,114000000000
2020-12-27,114000000000
