days,value
2020-09-30,43600000
2020-10-01,43600000
2020-10-02,43600000
2020-10-03,43600000
2020-10-04,43600000
2020-10-05,43600000
2020-10-06,43600000
2020-10-07,43600000
2020-10-08,43600000
2020-10-09,43600000
2020-10-10,41200000
2020-10-11,41200000
2020-10-12,41200000
2020-10-13,41200000
2020-10-14,41200000
2020-10-15,41200000
2020-10-16,41200000
2020-10-17,41200000
2020-10-18,41200000
2020-10-19,41200000
2020-10-20,41200000
2020-10-21,41200000
2020-10-22,39700000
2020-10-23,39700000
2020-10-24,39700000
2020-10-25,39700000
2020-10-26,39700000
2020-10-27,39700000
2020-10-28,39700000
2020-10-29,39700000
2020-10-30,39700000
2020-10-31,39700000
2020-11-01,39700000
2020-11-02,39700000
2020-11-03,39700000
2020-11-04,39700000
2020-11-05,39700000
2020-11-06,39700000
2020-11-07,38400000
2020-11-08,38400000
2020-11-09,38400000
2020-11-10,38400000
2020-11-11,38400000
2020-11-12,38400000
2020-11-13,38400000
2020-11-14,38400000
2020-11-15,38400000
2020-11-16,38400000
2020-11-17,38400000
2020-11-18,38400000
2020-11-19,36200000
2020-11-20,36200000
2020-11-21,36200000
2020-11-22,36200000
2020-11-23,36200000
2020-11-24,36200000
2020-11-25,36200000
2020-11-26,36200000
2020-11-27,36200000
2020-11-28,36200000
2020-11-29,36200000
2020-11-30,36200000
2020-12-01,36200000
2020-12-02,36200000
2020-12-03,36200000
2020-12-04,36200000
2020-12-05,36200000
2020-12-06,36200000
2020-12-07,36200000
2020-12-08,36200000
2020-12-09,36200000
2020-12-10,36200000
2020-12-11,36200000
2020-12-12,36200000
2020-12-13,36200000
2020-12-14,36200000
2020-12-15,36200000
2020-12-16,38400000
2020-12-17,38400000
2020-12-18,38400000
2020-12-19,38400000
2020-12-20,38400000
2020-12-21,38400000
2020-12-22,38400000
2020-12-23,38400000
2020-12-24,38400000
2020-12-25,40800000
2020-12-26,40800000
2020-12-27,40800000
